PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32439858","Long-term alterations in brain and behavior after postnatal Zika virus infection in infant macaques","Raper J, Kovacs-Balint Z, Mavigner M, Gumber S, Burke MW, Habib J, Mattingly C, Fair D, Earl E, Feczko E, Styner M, Jean SM, Cohen JK, Suthar MS, Sanchez MM, Alvarado MC, Chahroudi A.","Nat Commun. 2020 May 21;11(1):2534. doi: 10.1038/s41467-020-16320-7.","Raper J","Nat Commun","2020","2020/05/23","PMC7242369","","10.1038/s41467-020-16320-7"
"32379044","Recurrent circuit dynamics underlie persistent activity in the macaque frontoparietal network","Hart E, Huk AC.","Elife. 2020 May 7;9:e52460. doi: 10.7554/eLife.52460.","Hart E","Elife","2020","2020/05/08","PMC7205463","","10.7554/eLife.52460"
"32269107","MECP2 Duplication Causes Aberrant GABA Pathways, Circuits and Behaviors in Transgenic Monkeys: Neural Mappings to Patients with Autism","Cai DC, Wang Z, Bo T, Yan S, Liu Y, Liu Z, Zeljic K, Chen X, Zhan Y, Xu X, Du Y, Wang Y, Cang J, Wang GZ, Zhang J, Sun Q, Qiu Z, Ge S, Ye Z, Wang Z.","J Neurosci. 2020 May 6;40(19):3799-3814. doi: 10.1523/JNEUROSCI.2727-19.2020. Epub 2020 Apr 8.","Cai DC","J Neurosci","2020","2020/04/10","PMC7204082","","10.1523/JNEUROSCI.2727-19.2020"
"31553685","Altered functional interactions between neurons in primary visual cortex of macaque monkeys with experimental amblyopia","Acar K, Kiorpes L, Movshon JA, Smith MA.","J Neurophysiol. 2019 Dec 1;122(6):2243-2258. doi: 10.1152/jn.00232.2019. Epub 2019 Sep 25.","Acar K","J Neurophysiol","2019","2019/09/26","PMC6966320","","10.1152/jn.00232.2019"
"31354418","Fine-Grained Parcellation of the Macaque Nucleus Accumbens by High-Resolution Diffusion Tensor Tractography","Xia X, Fan L, Hou B, Zhang B, Zhang D, Cheng C, Deng H, Dong Y, Zhao X, Li H, Jiang T.","Front Neurosci. 2019 Jul 10;13:709. doi: 10.3389/fnins.2019.00709. eCollection 2019.","Xia X","Front Neurosci","2019","2019/07/30","PMC6635473","","10.3389/fnins.2019.00709"
"30923310","Functional ultrasound imaging of the brain reveals propagation of task-related brain activity in behaving primates","Dizeux A, Gesnik M, Ahnine H, Blaize K, Arcizet F, Picaud S, Sahel JA, Deffieux T, Pouget P, Tanter M.","Nat Commun. 2019 Mar 28;10(1):1400. doi: 10.1038/s41467-019-09349-w.","Dizeux A","Nat Commun","2019","2019/03/30","PMC6438968","","10.1038/s41467-019-09349-w"
"30765166","Manipulation of Subcortical and Deep Cortical Activity in the Primate Brain Using Transcranial Focused Ultrasound Stimulation","Folloni D, Verhagen L, Mars RB, Fouragnan E, Constans C, Aubry JF, Rushworth MFS, Sallet J.","Neuron. 2019 Mar 20;101(6):1109-1116.e5. doi: 10.1016/j.neuron.2019.01.019. Epub 2019 Feb 11.","Folloni D","Neuron","2019","2019/02/16","PMC6520498","","10.1016/j.neuron.2019.01.019"
"30668705","Biological Characteristics of Connection-Wise Resting-State Functional Connectivity Strength","Pijnenburg R, Scholtens LH, Mantini D, Vanduffel W, Barrett LF, van den Heuvel MP.","Cereb Cortex. 2019 Dec 17;29(11):4646-4653. doi: 10.1093/cercor/bhy342.","Pijnenburg R","Cereb Cortex","2019","2019/01/23","PMC7049309","","10.1093/cercor/bhy342"
"30530862","Intrinsic Functional Boundaries of Lateral Frontal Cortex in the Common Marmoset Monkey","Schaeffer DJ, Gilbert KM, Gati JS, Menon RS, Everling S.","J Neurosci. 2019 Feb 6;39(6):1020-1029. doi: 10.1523/JNEUROSCI.2595-18.2018. Epub 2018 Dec 10.","Schaeffer DJ","J Neurosci","2019","2018/12/12","PMC6363921","","10.1523/JNEUROSCI.2595-18.2018"
"30419289","Intrinsic functional clustering of anterior cingulate cortex in the common marmoset","Schaeffer DJ, Gilbert KM, Ghahremani M, Gati JS, Menon RS, Everling S.","Neuroimage. 2019 Feb 1;186:301-307. doi: 10.1016/j.neuroimage.2018.11.005. Epub 2018 Nov 10.","Schaeffer DJ","Neuroimage","2019","2018/11/13","","","10.1016/j.neuroimage.2018.11.005"
"30295946","Intranasal oxytocin in rhesus monkeys alters brain networks that detect social salience and reward","Parr LA, Mitchell T, Hecht E.","Am J Primatol. 2018 Oct;80(10):e22915. doi: 10.1002/ajp.22915. Epub 2018 Sep 17.","Parr LA","Am J Primatol","2018","2018/10/09","PMC6381825","NIHMS1000439","10.1002/ajp.22915"
