PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22905823","Visual short-term memory load reduces retinotopic cortex response to contrast","Konstantinou N, Bahrami B, Rees G, Lavie N.","J Cogn Neurosci. 2012 Nov;24(11):2199-210. doi: 10.1162/jocn_a_00279. Epub 2012 Aug 20.","Konstantinou N","J Cogn Neurosci","2012","2012/08/22","","","10.1162/jocn_a_00279"
"22885246","Selective responses to specular surfaces in the macaque visual cortex revealed by fMRI","Okazawa G, Goda N, Komatsu H.","Neuroimage. 2012 Nov 15;63(3):1321-33. doi: 10.1016/j.neuroimage.2012.07.052. Epub 2012 Aug 1.","Okazawa G","Neuroimage","2012","2012/08/14","","","10.1016/j.neuroimage.2012.07.052"
"22855672","Monkey in the middle: why non-human primates are needed to bridge the gap in resting-state investigations","Hutchison RM, Everling S.","Front Neuroanat. 2012 Jul 26;6:29. doi: 10.3389/fnana.2012.00029. eCollection 2012.","Hutchison RM","Front Neuroanat","2012","2012/08/03","PMC3405297","","10.3389/fnana.2012.00029"
"22840516","Optogenetically induced behavioral and functional network changes in primates","Gerits A, Farivar R, Rosen BR, Wald LL, Boyden ES, Vanduffel W.","Curr Biol. 2012 Sep 25;22(18):1722-6. doi: 10.1016/j.cub.2012.07.023. Epub 2012 Jul 26.","Gerits A","Curr Biol","2012","2012/07/31","PMC3461112","NIHMS394358","10.1016/j.cub.2012.07.023"
"22783176","Monitoring extracellular pH, oxygen, and dopamine during reward delivery in the striatum of primates","Ariansen JL, Heien ML, Hermans A, Phillips PE, Hernadi I, Bermudez MA, Schultz W, Wightman RM.","Front Behav Neurosci. 2012 Jul 5;6:36. doi: 10.3389/fnbeh.2012.00036. eCollection 2012.","Ariansen JL","Front Behav Neurosci","2012","2012/07/12","PMC3389715","","10.3389/fnbeh.2012.00036"
"22553030","Connectivity-based parcellation of the human orbitofrontal cortex","Kahnt T, Chang LJ, Park SQ, Heinzle J, Haynes JD.","J Neurosci. 2012 May 2;32(18):6240-50. doi: 10.1523/JNEUROSCI.0257-12.2012.","Kahnt T","J Neurosci","2012","2012/05/04","PMC6622144","","10.1523/JNEUROSCI.0257-12.2012"
"22521477","Hundreds of brain maps in one atlas: registering coordinate-independent primate neuro-anatomical data to a standard brain","Bezgin G, Vakorin VA, van Opstal AJ, McIntosh AR, Bakker R.","Neuroimage. 2012 Aug 1;62(1):67-76. doi: 10.1016/j.neuroimage.2012.04.013. Epub 2012 Apr 14.","Bezgin G","Neuroimage","2012","2012/04/24","","","10.1016/j.neuroimage.2012.04.013"
"22504764","What does polarity inversion of extrastriate activity tell us about striate contributions to the early VEP? A comment on Ales et al. (2010)","Kelly SP, Schroeder CE, Lalor EC.","Neuroimage. 2013 Aug 1;76:442-5. doi: 10.1016/j.neuroimage.2012.03.081. Epub 2012 Apr 5.","Kelly SP","Neuroimage","2013","2012/04/17","","","10.1016/j.neuroimage.2012.03.081"
"22235303","A functional and structural investigation of the human fronto-basal volitional saccade network","Neggers SF, Diepen RM, Zandbelt BB, Vink M, Mandl RC, Gutteling TP.","PLoS One. 2012;7(1):e29517. doi: 10.1371/journal.pone.0029517. Epub 2012 Jan 3.","Neggers SF","PLoS One","2012","2012/01/12","PMC3250458","","10.1371/journal.pone.0029517"
"22219283","Echoes of the brain within the posterior cingulate cortex","Leech R, Braga R, Sharp DJ.","J Neurosci. 2012 Jan 4;32(1):215-22. doi: 10.1523/JNEUROSCI.3689-11.2012.","Leech R","J Neurosci","2012","2012/01/06","PMC6621313","","10.1523/JNEUROSCI.3689-11.2012"
